Date,Symbol,Open,High,Low,Close,Volume,Volume_Millions,Year,Month,Quarter,Weekday,Month_Name
2023-11-03,MSFT,344.43933508440006,349.12867689079525,342.17346325846154,347.562255859375,23637700,23.6377,2023,11,Q4,Friday,November
2023-11-06,AAPL,174.66912431484397,177.6895273209714,174.50077512285628,177.49147033691406,63841300,63.8413,2023,11,Q4,Monday,November
2023-11-06,GOOGL,128.16602622960193,129.44718321865057,127.78862433400963,129.35780334472656,19052700,19.0527,2023,11,Q4,Monday,November
2023-11-06,MSFT,348.2025867608286,352.2318617799553,348.1040653780775,351.2368469238281,23828300,23.8283,2023,11,Q4,Monday,November
2023-11-07,AAPL,177.44195927584823,180.67034717470034,177.23400472320088,180.05636596679688,70530000,70.53,2023,11,Q4,Tuesday,November
2023-11-07,GOOGL,129.8146623938561,131.00643953950896,128.99034595326017,130.0728759765625,29757300,29.7573,2023,11,Q4,Tuesday,November
2023-11-07,MSFT,354.0642616553695,357.07882980965496,352.3205502922459,355.177490234375,25833900,25.8339,2023,11,Q4,Tuesday,November
2023-11-08,AAPL,180.58119623069618,181.67051707486866,179.82855862153886,181.11595153808594,49340300,49.3403,2023,11,Q4,Wednesday,November
2023-11-08,GOOGL,130.07285401571562,131.30436544572024,129.88415309494508,130.9368896484375,26425800,26.4258,2023,11,Q4,Wednesday,November
2023-11-08,MSFT,356.31040835628005,358.4678975179717,355.1971797857397,357.807861328125,26767800,26.7678,2023,11,Q4,Wednesday,November
2023-11-09,AAPL,181.18530832204868,182.3340449245472,180.04645416963677,180.64064025878906,53763500,53.7635,2023,11,Q4,Thursday,November
2023-11-09,GOOGL,131.05610465685587,131.64205962708724,129.17905141944397,129.34788513183594,23747800,23.7478,2023,11,Q4,Thursday,November
2023-11-09,MSFT,356.92119665439174,359.3742499704996,355.0099959471622,355.3351135253906,24847300,24.8473,2023,11,Q4,Thursday,November
2023-11-10,AAPL,182.425536381392,185.00371491529177,181.98922784820692,184.8351287841797,66133400,66.1334,2023,11,Q4,Friday,November
2023-11-10,GOOGL,129.20882874695465,131.8903308755952,128.5235527815123,131.6817626953125,26913300,26.9133,2023,11,Q4,Friday,November
2023-11-10,MSFT,356.1232128388484,364.60540210202504,355.7094651076726,364.1817932128906,28042100,28.0421,2023,11,Q4,Friday,November
2023-11-13,AAPL,184.26000678217753,184.46823531200093,182.66352248721634,183.24856567382812,43627500,43.6275,2023,11,Q4,Monday,November
2023-11-13,GOOGL,130.87733703282254,131.6817863001911,130.3509686195006,131.18521118164062,18324800,18.3248,2023,11,Q4,Monday,November
2023-11-13,MSFT,362.75335139986936,362.99963986206404,360.4677872552205,361.2362060546875,19986500,19.9865,2023,11,Q4,Monday,November
2023-11-14,AAPL,186.12420582715117,186.53076740007103,184.7359652497266,185.86639404296875,60108400,60.1084,2023,11,Q4,Tuesday,November
2023-11-14,GOOGL,133.27083007070482,134.7704814431392,132.4067942311074,132.70472717285156,32395200,32.3952,2023,11,Q4,Tuesday,November
2023-11-14,MSFT,365.5018918638483,366.4279387672935,361.8962256351267,364.7728576660156,27683900,27.6839,2023,11,Q4,Tuesday,November
2023-11-15,AAPL,186.27293434959842,187.9090759241039,186.20351476330887,186.43157958984375,53790500,53.7905,2023,11,Q4,Wednesday,November
2023-11-15,GOOGL,133.94614824111162,134.10505589307232,132.65506524316734,133.69786071777344,23861500,23.8615,2023,11,Q4,Wednesday,November
2023-11-15,MSFT,366.5102311130988,368.33647051944837,362.3937891012248,364.9209289550781,26860100,26.8601,2023,11,Q4,Wednesday,November
2023-11-16,AAPL,187.9785007833142,189.356830641734,187.06621119021287,188.11732482910156,54412900,54.4129,2023,11,Q4,Thursday,November
2023-11-16,GOOGL,134.26397851452822,136.28007221647312,133.3999426863431,135.99205017089844,28013200,28.0132,2023,11,Q4,Thursday,November
2023-11-16,MSFT,366.1944031837435,371.5151742717362,365.4244247654556,371.3374938964844,27182300,27.1823,2023,11,Q4,Thursday,November
2023-11-17,AAPL,188.65279989002153,188.78171334674664,186.98691120628507,188.09750366210938,50922700,50.9227,2023,11,Q4,Friday,November
2023-11-17,GOOGL,135.06842424103002,135.12801082704152,132.73451526045164,134.38314819335938,37240600,37.2406,2023,11,Q4,Friday,November
2023-11-17,MSFT,368.81040100291824,369.5606472956198,362.2853308931373,365.0987243652344,40157000,40.157,2023,11,Q4,Friday,November
2023-11-20,AAPL,188.2958417959073,190.29888780221057,188.28593119459046,189.84274291992188,46505100,46.5051,2023,11,Q4,Monday,November
2023-11-20,GOOGL,132.774249400923,135.72390663480266,132.70472161458173,135.31671142578125,27815500,27.8155,2023,11,Q4,Monday,November
2023-11-20,MSFT,366.45106107636286,374.0027780403626,366.2338861383217,372.5911560058594,52465100,52.4651,2023,11,Q4,Monday,November
2023-11-21,AAPL,189.8030754431615,189.91215257469014,188.14709726863614,189.03953552246094,38134500,38.1345,2023,11,Q4,Tuesday,November
2023-11-21,GOOGL,135.35643404163898,136.2403371131516,135.02870781151344,136.0317840576172,22635300,22.6353,2023,11,Q4,Tuesday,November
2023-11-21,MSFT,370.8439180073763,371.38684030809384,366.35235211982354,368.2773132324219,28423100,28.4231,2023,11,Q4,Tuesday,November
2023-11-22,AAPL,189.88239992204348,191.31029805901488,189.22793715258507,189.7039031982422,39617700,39.6177,2023,11,Q4,Wednesday,November
2023-11-22,GOOGL,136.52834920416745,138.46498892143381,136.52834920416745,137.54136657714844,17813900,17.8139,2023,11,Q4,Wednesday,November
2023-11-22,MSFT,373.1439165670346,374.9109292631738,370.15284352020876,372.995849609375,23345300,23.3453,2023,11,Q4,Wednesday,November
2023-11-24,AAPL,189.26759079649733,189.2973377280717,187.66119596873028,188.37515258789062,24048300,24.0483,2023,11,Q4,Friday,November
2023-11-24,GOOGL,137.08451015366452,137.1838312275909,135.05849057227317,135.75369262695312,12514300,12.5143,2023,11,Q4,Friday,November
2023-11-24,MSFT,372.4825469539782,373.1143395355948,370.32070891042537,372.5812683105469,10176600,10.1766,2023,11,Q4,Friday,November
2023-11-27,AAPL,188.3255839995523,189.06928760823715,187.31414285514808,188.19667053222656,40552600,40.5526,2023,11,Q4,Monday,November
2023-11-27,GOOGL,135.098214546326,137.47184281366268,135.06842125397912,135.47561645507812,23436500,23.4365,2023,11,Q4,Monday,November
2023-11-27,MSFT,371.9396164792958,375.75004385501524,371.36708082466845,373.74609375,22179200,22.1792,2023,11,Q4,Monday,November
2023-11-28,AAPL,188.18675406725092,189.47584330827428,187.80993940877178,188.80154418945312,38415400,38.4154,2023,11,Q4,Tuesday,November
2023-11-28,GOOGL,135.14786959064773,136.30985340774254,134.49238687712713,136.26019287109375,18730000,18.73,2023,11,Q4,Tuesday,November
2023-11-28,MSFT,373.4894767472904,378.07973380889825,373.3019152003715,377.7835998535156,20453100,20.4531,2023,11,Q4,Tuesday,November
2023-11-29,AAPL,189.2973359031836,190.47734794655034,187.3835460471391,187.78018188476562,43014200,43.0142,2023,11,Q4,Wednesday,November
2023-11-29,GOOGL,136.62768277470195,137.34273698978822,133.91637176828155,134.0653533935547,23967200,23.9672,2023,11,Q4,Wednesday,November
2023-11-29,MSFT,378.82995852513955,379.3629996146164,372.591142464095,373.9830322265625,28963400,28.9634,2023,11,Q4,Wednesday,November
2023-11-30,AAPL,188.24625428611483,188.7222354910008,186.61011239504938,188.35533142089844,48794400,48.7944,2023,11,Q4,Thursday,November
2023-11-30,GOOGL,134.12493508416668,134.6215101750712,130.3807546555512,131.6221923828125,38988300,38.9883,2023,11,Q4,Thursday,November
2023-11-30,MSFT,373.62767968120687,375.2071311418971,370.6464872667331,374.04229736328125,30554400,30.5544,2023,11,Q4,Thursday,November
2023-12-01,AAPL,188.7321574179856,189.95182717598524,187.6413860046919,189.634521484375,45704800,45.7048,2023,12,Q4,Friday,December
2023-12-01,GOOGL,130.956787109375,131.2050746615197,129.77493593648308,130.956787109375,31442300,31.4423,2023,12,Q4,Friday,December
2023-12-01,MSFT,371.91988642578656,373.3018950187399,366.5398888981319,369.69879150390625,33040500,33.0405,2023,12,Q4,Friday,December
2023-12-04,AAPL,188.38506152852514,188.45448112204545,185.87630278327032,187.8396759033203,43389500,43.3895,2023,12,Q4,Monday,December
2023-12-04,GOOGL,128.9903436695441,129.1393101272626,127.02390307918412,128.384521484375,36669900,36.6699,2023,12,Q4,Monday,December
2023-12-04,MSFT,364.3582715480311,364.7728590438149,358.2379093318976,364.39776611328125,32063300,32.0633,2023,12,Q4,Monday,December
2023-12-05,AAPL,188.61313058416235,192.76794143388682,188.58336852388663,191.79617309570312,66628400,66.6284,2023,12,Q4,Tuesday,December
2023-12-05,GOOGL,128.06670813818567,131.2348595247084,127.37150606769525,130.09274291992188,27384800,27.3848,2023,12,Q4,Tuesday,December
2023-12-05,MSFT,361.742346716279,368.28714793242324,360.92299258913255,367.7343444824219,23065000,23.065,2023,12,Q4,Tuesday,December
2023-12-06,AAPL,192.8175368647406,193.1249319103576,190.4971854261922,190.70542907714844,41089700,41.0897,2023,12,Q4,Wednesday,December
2023-12-06,GOOGL,130.53966601076132,130.93692003300382,128.99035410803816,129.12939453125,23576200,23.5762,2023,12,Q4,Wednesday,December
2023-12-06,MSFT,368.7412301197078,369.3729925287451,363.3020061210184,364.0621032714844,21182100,21.1821,2023,12,Q4,Wednesday,December
2023-12-07,AAPL,192.0044117201268,193.3629052381858,191.96473906125271,192.6390380859375,47477700,47.4777,2023,12,Q4,Thursday,December
2023-12-07,GOOGL,134.11499689135425,137.61088985291832,133.77732945899103,135.99205017089844,56767100,56.7671,2023,12,Q4,Thursday,December
