Date,Symbol,Window_Days,Window_Type,Volatility,Volatility_Pct,VaR_95,VaR_95_Pct,VaR_99,VaR_99_Pct,Skewness,Kurtosis,Excess_Kurtosis,Max_Drawdown,Max_Drawdown_Pct,Year,Month,Quarter,Risk_Level
2025-08-15,GOOGL,30,30-Day,0.19419536845210542,19.41953684521054,-0.014889684913115653,-1.4889684913115653,-0.021152730690756225,-2.1152730690756223,-0.012989657331266774,0.5225746404913534,-2.4774253595086466,-0.03765328096270202,-3.765328096270202,2025,8,Q3,Low
2025-08-18,GOOGL,30,30-Day,0.19418942136085535,19.418942136085533,-0.014889684913115653,-1.4889684913115653,-0.021152730690756225,-2.1152730690756223,-0.010790931582831826,0.523009754914133,-2.476990245085867,-0.037653280962701985,-3.7653280962701983,2025,8,Q3,Low
2025-08-19,GOOGL,30,30-Day,0.186193864845662,18.6193864845662,-0.014124306901427774,-1.4124306901427774,-0.020912756636796245,-2.0912756636796246,0.03254795317167173,0.8875086705364299,-2.11249132946357,-0.03765328096270189,-3.765328096270189,2025,8,Q3,Low
2025-08-20,GOOGL,30,30-Day,0.1828926860504665,18.28926860504665,-0.012206806711567075,-1.2206806711567075,-0.020912756636796245,-2.0912756636796246,0.07806029224770564,1.0118960502704764,-1.9881039497295236,-0.03765328096270198,-3.765328096270198,2025,8,Q3,Low
2025-08-21,GOOGL,30,30-Day,0.18698202853286786,18.698202853286787,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,0.18718296932753628,0.8057541151560454,-2.1942458848439546,-0.03765328096270196,-3.7653280962701956,2025,8,Q3,Low
2025-08-22,GOOGL,30,30-Day,0.18700437640295228,18.700437640295227,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,0.21873897052046226,0.8130288236594088,-2.1869711763405912,-0.037653280962702027,-3.7653280962702027,2025,8,Q3,Low
2025-08-25,GOOGL,30,30-Day,0.20154877571654797,20.154877571654797,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,0.3939012570942775,0.589897761368912,-2.410102238631088,-0.03765328096270199,-3.765328096270199,2025,8,Q3,Medium
2025-08-26,GOOGL,30,30-Day,0.2024170743620005,20.24170743620005,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,0.36071347982911417,0.5085124172246713,-2.4914875827753287,-0.037653280962701985,-3.7653280962701983,2025,8,Q3,Medium
2025-08-27,GOOGL,30,30-Day,0.2049139360065199,20.49139360065199,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,0.3978000107988669,0.38632763787383206,-2.613672362126168,-0.037653280962701874,-3.7653280962701876,2025,8,Q3,Medium
2025-08-28,GOOGL,30,30-Day,0.20504765234022118,20.50476523402212,-0.012962103601005559,-1.296210360100556,-0.020912756636796245,-2.0912756636796246,0.4272425590093352,0.3947186726102756,-2.6052813273897244,-0.03765328096270207,-3.7653280962702067,2025,8,Q3,Medium
